DepartamentoREN,ProvinciaREN,DistritoREN
LA LIBERTAD,OTUZCO,OTUZCO
LA LIBERTAD,SANCHEZ CARRION,CHUGAY
LA LIBERTAD,OTUZCO,USQUIL
LA LIBERTAD,PATAZ,HUANCASPATA
LA LIBERTAD,PATAZ,CHILLIA
LA LIBERTAD,BOLIVAR,LONGOTEA
LA LIBERTAD,BOLIVAR,UCHUMARCA
LA LIBERTAD,JULCAN,JULCAN
LA LIBERTAD,OTUZCO,AGALLPAMPA
LA LIBERTAD,PATAZ,URPAY
LA LIBERTAD,PACASMAYO,JEQUETEPEQUE
LA LIBERTAD,SANCHEZ CARRION,HUAMACHUCO
LA LIBERTAD,TRUJILLO,TRUJILLO
LA LIBERTAD,TRUJILLO,LA ESPERANZA
LA LIBERTAD,CHEPEN,CHEPEN
LA LIBERTAD,PATAZ,PARCOY
LA LIBERTAD,ASCOPE,CHICAMA
LA LIBERTAD,PATAZ,HUAYLILLAS
LA LIBERTAD,GRAN CHIMU,CASCAS
LA LIBERTAD,CHEPEN,PACANGA
LA LIBERTAD,ASCOPE,CASA GRANDE
LA LIBERTAD,ASCOPE,CHOCOPE
LA LIBERTAD,ASCOPE,PAIJAN
LA LIBERTAD,ASCOPE,RAZURI
LA LIBERTAD,VIRU,VIRU
LA LIBERTAD,PACASMAYO,SAN PEDRO DE LLOC
LA LIBERTAD,TRUJILLO,EL PORVENIR
LA LIBERTAD,SANCHEZ CARRION,MARCABAL
LA LIBERTAD,ASCOPE,ASCOPE
LA LIBERTAD,TRUJILLO,POROTO
LA LIBERTAD,ASCOPE,SANTIAGO DE CAO
LA LIBERTAD,SANCHEZ CARRION,SANAGORAN
LA LIBERTAD,JULCAN,CARABAMBA
LA LIBERTAD,TRUJILLO,HUANCHACO
LA LIBERTAD,TRUJILLO,LAREDO
LA LIBERTAD,SANTIAGO DE CHUCO,SANTIAGO DE CHUCO
LA LIBERTAD,VIRU,CHAO
LA LIBERTAD,PACASMAYO,GUADALUPE
LA LIBERTAD,CHEPEN,PUEBLO NUEVO
LA LIBERTAD,PATAZ,PIAS
LA LIBERTAD,PATAZ,PATAZ
LA LIBERTAD,SANCHEZ CARRION,SARIN
LA LIBERTAD,TRUJILLO,VICTOR LARCO HERRERA
LA LIBERTAD,JULCAN,HUASO
LA LIBERTAD,OTUZCO,SALPO
LA LIBERTAD,JULCAN,CALAMARCA
LA LIBERTAD,BOLIVAR,BOLIVAR
LA LIBERTAD,BOLIVAR,BAMBAMARCA
LA LIBERTAD,PATAZ,TAYABAMBA
LA LIBERTAD,PACASMAYO,SAN JOSE
LA LIBERTAD,PATAZ,ONGON
LA LIBERTAD,TRUJILLO,MOCHE
LA LIBERTAD,VIRU,GUADALUPITO
LA LIBERTAD,TRUJILLO,FLORENCIA DE MORA
LA LIBERTAD,SANCHEZ CARRION,CURGOS
LA LIBERTAD,SANCHEZ CARRION,COCHORCO
LA LIBERTAD,TRUJILLO,SALAVERRY
LA LIBERTAD,BOLIVAR,UCUNCHA
LA LIBERTAD,SANTIAGO DE CHUCO,MOLLEPATA
LA LIBERTAD,TRUJILLO,SIMBAL
LA LIBERTAD,OTUZCO,LA CUESTA
LA LIBERTAD,GRAN CHIMU,SAYAPULLO
LA LIBERTAD,OTUZCO,SINSICAP
LA LIBERTAD,SANTIAGO DE CHUCO,CACHICADAN
LA LIBERTAD,PATAZ,HUAYO
LA LIBERTAD,SANCHEZ CARRION,SARTIMBAMBA
LA LIBERTAD,PACASMAYO,PACASMAYO
LA LIBERTAD,GRAN CHIMU,LUCMA
LA LIBERTAD,PATAZ,SANTIAGO DE CHALLAS
LA LIBERTAD,ASCOPE,MAGDALENA DE CAO
LA LIBERTAD,OTUZCO,MACHE
LA LIBERTAD,BOLIVAR,CONDORMARCA
LA LIBERTAD,PATAZ,TAURIJA
LA LIBERTAD,SANTIAGO DE CHUCO,SANTA CRUZ DE CHUCA
LA LIBERTAD,GRAN CHIMU,MARMOT
LA LIBERTAD,SANTIAGO DE CHUCO,ANGASMARCA
LA LIBERTAD,SANTIAGO DE CHUCO,QUIRUVILCA
LA LIBERTAD,OTUZCO,HUARANCHAL
LA LIBERTAD,SANTIAGO DE CHUCO,SITABAMBA
LA LIBERTAD,SANTIAGO DE CHUCO,MOLLEBAMBA
LA LIBERTAD,PATAZ,BULDIBUYO
LA LIBERTAD,OTUZCO,CHARAT
LA LIBERTAD,OTUZCO,PARANDAY
